blockNumber,txHash,token_symbols,token_addresses,pools,pool_addresses
16086237,0x53ce2285cd62c16cb31cde24aee58297a00d364d1a0b5dff61a15eadad323e31,HOT WETH USDT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdac17f958d2ee523a2206206994597c13d831ec7,WETH-USDT(usp2) HOT-WETH(usp2),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852 0xf5ef67632cd2256d939702a126fe2c047d0a07bf
16086240,0x8f4f504d11cb5a944c30864c8eddcedec00fd7d528934a4fd4515f6c2a439641,BTRFLY WETH DAI BTRFLYETH-f,0xc55126051b22ebb829d00368f4b12bde432de5da 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x6b175474e89094c44da98b954eedeac495271d0f 0x7483dd57f6488b0e194a151c57df6ec85c00ace9,DAI-WETH-0.0005(usp3),0x60594a405d53811d3bc4766596efd80fd545a270
16086242,0x4c8a6c5496bb5ae656ac1e17da87efb678cf69a8e359ff0717912fdd3afaf38c,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16086243,0x0dcc849d538e91194bef4726917ba0e5713d68a2938f5c74ae95d2fb2c3ec6f2,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16086244,0xe4b7b7df083fa9387fc3eb3a258c02a4edd2a33a74af62c298e85dfabdc362ca,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16086244,0xe0916ac3e406ceb3409304f1e3c1a29ae1b25199e8e620e0ee5f20df7be803a8,SRM WETH,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SRM-WETH(usp2) SRM-WETH(sush),0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54 0x117d4288b3635021a3d612fe05a3cbf5c717fef2
16086246,0x01c065867fe79ad1e5a13ab5e9bc78c2d1e1a76370c198f1191c7dddf21eb9e7,BTRFLY WETH,0xc55126051b22ebb829d00368f4b12bde432de5da 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH-BTRFLY-0.010(usp3),0x3e6e23198679419cd73bb6376518dcc5168c8260
16086248,0x540554b89e9f66a111d713e57f730c03958801b9e0030abcf8ecb002b0df19bc,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16086249,0xe46d039fa06e8a4ec8147c68bd6e4a8d5a9e01ef22e6ffa3535dc5099a619080,STC USDC WETH LEAN USDT,0x15b543e986b8c34074dfc9901136d9355a537e7e 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xfb83869f7ee52aebaddea254f647953afb1f99f8 0xdac17f958d2ee523a2206206994597c13d831ec7,STC-USDC-0.010(usp3) USDT-LEAN-0.010(usp3) WETH-USDT-0.0005(usp3) USDC-WETH-0.0005(usp3) STC-LEAN-0.010(usp3),0x684fb455b9734a142385a8e11c26dc5b0901d961 0x0179eac7402915c64431019d76875a7e5d86f7fd 0x11b815efb8f581194ae79006d24e0d814b7697f6 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640 0x5d594686f5510f95e90eeab72bf25008e35bf264
16086251,0xbe8e284ae976a5d8f0411cf166c898765d0b38fe492a94f6c496316c149d0070,renBTC WBTC WETH,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ren(curv) WBTC-WETH-0.0005(usp3) WBTC-renBTC-0.0005(usp3),0x93054188d876f558f4a66b2ef1d97d16edf0895b 0x4585fe77225b41b697c938b018e2ac67ac5a20c0 0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f
16086252,0x904a8c543e7bb6fe707147865f40db91061b5ff2d4bf97502c96bd20237feb8c,renBTC WBTC WETH,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ren(curv) WBTC-WETH-0.0005(usp3) WETH-renBTC-0.0005(usp3),0x93054188d876f558f4a66b2ef1d97d16edf0895b 0x4585fe77225b41b697c938b018e2ac67ac5a20c0 0xda2b18487a4012c46344083982afbea6871d7ac3
16086253,0x8d2963d232be79d4fac782f24a9a3a6ab527ab8c108f3ff4c44ec73087e792eb,renBTC WETH WBTC,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC-renBTC-0.0005(usp3),0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f
16086253,0x0c2452640fe1e07d7eedee43a06648af5dc50c15372e3006f2ed5c2c36603c24,FUN USDC WETH WBTC,0x419d0d8bdd9af5e606ae2232ed285aff190e711b 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC-FUN-0.0001(usp3) USDC-WETH-0.0005(usp3) FUN-WETH-0.0001(usp3) WBTC-USDC-0.0005(usp3),0x3ffedcddd268511acc44ae67845bdd56c8417fa4 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640 0x29f0096512b4af1d689c1a11a867a6e707a8dcde 0x9a772018fbd77fcd2d25657e5c547baff3fd7d16
16086254,0xc17aebf4e52243dceac0ab044684c42fe5217b186bb3b809eb5feb13ddb75822,CREAM PICKLE WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0x429881672b9ae42b8eba0e26cd9c73711b891ca5 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush) PICKLE-WETH(usp2),0xf169cea51eb51774cf107c88309717dda20be167 0xdc98556ce24f007a5ef6dc1ce96322d65832a819
