poolAddress,token addresses
0xc3d7aa944105d3fafe07fc1822102449c916a8d0,0x35a532d376ffd9a705d0bb319532837337a398e7 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa9bd7eef0c7affbdbdae92105712e9ff8b06ed49,0x725c263e32c72ddc3a19bea12c5a0479a81ee688 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x5d95bb70e1d8b7fabc286bbc163642b3c39097a7,0x3845badade8e6dff049820680d1f14bd3903a5d0 0x557b933a7c2c45672b610f8954a3deb39a51a8ca
0x4c083084c9d50334b343c44ec97d16011303cc73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xd9016a907dc0ecfa3ca425ab20b6b785b42f2373
0xc4b26b26d720467d96e18f08664a888d4116cea6,0x0202be363b8a4820f3f4de7faf5224ff05943ab1 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3440559f2b7ceefb98f9fd7718adce4f6082e8ae,0x6b175474e89094c44da98b954eedeac495271d0f 0xf67192a8b9f269f23802d9ab94c7875a0abb7aea
0x9c18a2f9545112ab2fcbdd228536562406a53232,0x630d98424efe0ea27fb1b3ab7741907dffeaad78 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x57ab5aeb8bac2586a0d437163c3eb844246336ce,0x09a3ecafa817268f77be1283176b946c4ff2e608 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x53aabccae8c1713a6a150d9981d2ee867d0720e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xfca59cd816ab1ead66534d82bc21e7515ce441cf
0x461037159a95d0fb08428d4429aed5e7bd4fba14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xf67192a8b9f269f23802d9ab94c7875a0abb7aea
0xc628da629c615909c961b1c69c3bcac0c3fad8a9,0xa47c8bf37f92abed4a126bda807a7b7498661acd 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
