index,address,token0_address,token0_name,token0_symbol,token0_decimals,reserve0,token1_address,token1_name,token1_symbol,token1_decimals,reserve1
0,0xCF6dAAB95c476106ECa715D48DE4b13287ffDEAa,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,291365706918096090334224083914,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,2136738470591526912984
1,0x57654aE132413E81459aD2AE70C2570A9B89fB53,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,2688798202262151713831,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,627447022679492507074
2,0x86cccdA3799A43fBCeB4cEc6Ad8b028f5bF8B3dD,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,199315127,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,28845563467730280978
3,0x20E95253e54490D8d30ea41574b24F741ee70201,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,291166481310,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,177579007567706948151
4,0x6cbefa95e42960E579C2A3058C05C6A08e2498e9,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,SushiToken,SUSHI,18,4727479952671317217283,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,3863903951525153836
5,0x9d406c4067A53f65DE1A8A9273D55bfEA5870a75,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap,UNI,18,4602672909574785295747,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,19737036367350472924
6,0xf15FD4DC6a1D3C0aA8bBAb46dB6400F53A49f737,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,4472704333127835449415,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,20328484318157610872
7,0x8faf958E36c6970497386118030e6297fFf8d275,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,38284873754387438571937,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,23357940422869267207
8,0x43A76C98CD94e309B0ab1757a42a51bcaA334ff5,0x892A6f9dF0147e5f079b0993F486F9acA3c87881,unification.com/xfund,xFUND,9,200143532268,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,162804802180980855507
9,0xf3033c8D381F16D9D466B0517e6cccED0F493Fb6,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,Synthetix Network Token,SNX,18,988013838775931200590,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1539828632425174439
10,0x50b2C07F0269eBf0E906FeEeA9d5c90C42D9fd24,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,1617718292821527868,0xD5525D397898e5502075Ea5E830d8914f6F0affe,MEME,MEME,8.0,4103180108
11,0x6D2A35E903f95a8acA302dE7688D12e26F1A08d8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,1766715555007372373,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,Graph Token,GRT,18.0,29544856135518704111060
12,0xaE06088Ecb0e668Db494eE64ae78aF5e5B510797,0x92E187a03B6CD19CB6AF293ba17F2745Fd2357D5,Unit Protocol,DUCK,18,172023388312980735431252,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,778151631419876966
13,0x540c57A187e8405df4522b3786B774cECbf2Fb5f,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,Dogelon,ELON,18,296137938836118203859387035213,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,64474201008047916749
14,0x6593f97975400FCfEE16a44D8448bB0509743e8E,0x7D29A64504629172a429e64183D6673b9dAcbFCe,VectorspaceAI,VXV,18,70681401891087471347643,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,24224546618551151449
15,0xEFb47fcFCaD4F96c83D4ca676842fB03Ef20a477,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18,3130236786959374041725845,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,2609319278743804723219
16,0xc79DaD13ddb6EBb6b128ef2D76C402624A7bA935,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18,106403710341776522251,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6.0,145659387
17,0x29e05b93C2074592727Cdc954b202E58C1A6B059,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18,158393562159450296307,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6.0,219038911
18,0x4200B824D4B1118E290767a9F255D53aF21FaBcA,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,8079966444265773335,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18.0,5429947180540105913
19,0x703b120F15Ab77B986a24c6f9262364d02f9432f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,160431624634855657456,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6.0,262490158909
20,0x98C2b0681d8BF07767826eA8BD3b11b0Ca421631,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,3204401751158577338323745178,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6.0,38631421258
21,0xD9b8B6383dE70FCeFA501Ce768Fff3DF16Afb553,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,84491150705170404,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6.0,32964627
22,0xca6CA8F8095d2D3AFeb8c1dC084235A6b2dbE205,0x389999216860AB8E0175387A0c90E5c52522C945,FEGtoken,FEG,9,56560213124432344976,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,4012170835843532517834136
23,0xFf64Cb7Ba5717a10DAbC4Be3A41acd2C2F95eE22,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,166537318709199351862451657464,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18.0,1472934310424247448673746
24,0x351C3702414c0f1D8AcB0156fdc20aEDa8D07a8f,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,2061293817125194854390,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18.0,65964145948836656678119009927
25,0x586ffFBF6f47ba9A9946462f613718208AAe3DaC,0x86bf8963e1781Bf2Ef9571A2691d0692b28520b3,FAFO,FFO,18,1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1115459
26,0xc639880d610CAf150afc5aABE23f3e28c0d655c5,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,1818041264863465645,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,Dogelon,ELON,18.0,1957773515744598353681899927
27,0xf6bAdfb9b0ab2F8F3FD8225Ef1eA12fA689aD1a7,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,3956430440615882247039,0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE SHIBASWAP,BONE,18.0,1119682629538373853886757
28,0xb7A314209E4466a4acA94328e380f580aE33E837,0x3F382DbD960E3a9bbCeaE22651E88158d2791550,Aavegotchi GHST Token,GHST,18,7378,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,138018238017503
29,0x187F25d7BA42BF908169b12b8f63B45c671eD92d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,20998487306610319,0xCF8335727B776d190f9D15a54E6B9B9348439eEE,Whackd,WHACKD,18.0,22713814972949231973418
30,0xa29F306fF5b479490236CD1c13AB943B72079EBE,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER,LEASH,18,6011268483384768,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,Graph Token,GRT,18.0,33364942828838331478
31,0x5D100323B05162A5aaF9eDe240d8546E336539E4,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,1901167192645167800905735,0xC40AF1E4fEcFA05Ce6BAb79DcD8B373d2E436c4E,Hokkaidu Inu,HOKK,9.0,34197385059305860309524
32,0xbB6D133d7f36705EA058cFd706082Aa382f23De9,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,MATIC,18,4195220351288901268307,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,3044143181541382253
33,0xDcAE9805fBd3762ADea2e45f2df0f19C6123F09E,0x57654aE132413E81459aD2AE70C2570A9B89fB53,ShibaSwap LP Token,SSLP,18,15530575320194,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,4013409177123
34,0xf50c51d92aab9aFdAD0fb935B84AAe2dc76FF64b,0xB4a81261b16b92af0B9F7C4a83f1E885132D81e4,xShib Staked Shiba Inu,xSHIB,18,4536952917937581713335606324,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,33641151463488335951
35,0x9f12f4b11056F4addDF08e8f56AA227010E464Ac,0xA2b4C0Af19cC16a6CfAcCe81F192B024d625817D,Kishu Inu,KISHU,9,3426994581736144464763,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,1217186289199643804
36,0xC795a1e870aBDcCf7E828a01694E3c27A9f3F2c2,0x3Ea50B7Ef6a7eaf7E966E2cb72b519C16557497c,Rocket Bunny,BUNNY,9,9913618305085168080903,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18.0,2321984986601718
37,0x9379F5e035CF6148c6bbEE1D6415795cc773b0A4,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,18,5297013172114201752173268875,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6.0,64556756318
